Year,Total PRs,Total Births,Total TRs,Province,Population Estimate,Total Deaths
2014,0.0,334806.0,23155.0,Alberta,4027497,46720.0
2014,0.0,266092.0,80880.0,British Columbia,4672025,67582.0
2014,0.0,99358.0,10815.0,Manitoba,1270153,21418.0
2014,0.0,41878.0,4705.0,New Brunswick,758713,13644.0
2014,0.0,27430.0,2740.0,Newfoundland and Labrador,528065,9972.0
2014,0.0,3996.0,30.0,Northwest Territories,43767,426.0
2014,0.0,0.0,0.0,Northwest Territories including Nunavut,44031,0.0
2014,0.0,51678.0,11170.0,Nova Scotia,939166,17492.0
2014,0.0,5410.0,5.0,Nunavut,35583,350.0
2014,0.0,843246.0,139890.0,Ontario,13563311,191878.0
2014,0.0,8524.0,1290.0,Prince Edward Island,143828,2572.0
2014,0.0,0.0,0.0,Province / Territory not stated,144342,0.0
2014,0.0,527930.0,48520.0,Quebec,8123138,126390.0
2014,0.0,93262.0,6840.0,Saskatchewan,1105444,18786.0
2014,0.0,0.0,0.0,Unknown province or territory,1115184,0.0
2014,0.0,0.0,0.0,Unknown province or territory of residence,1115184,0.0
2014,0.0,2432.0,45.0,Yukon,36333,412.0
2015,1900.0,341428.0,25500.0,Alberta,4113697,47692.0
2015,1910.0,265610.0,90215.0,British Columbia,4751439,70492.0
2015,715.0,100072.0,12255.0,Manitoba,1284693,21368.0
2015,125.0,39586.0,4715.0,New Brunswick,759270,14452.0
2015,50.0,26880.0,3085.0,Newfoundland and Labrador,528161,10478.0
2015,10.0,4100.0,50.0,Northwest Territories,44106,416.0
2015,130.0,49202.0,11705.0,Nova Scotia,937442,18742.0
2015,0.0,5214.0,5.0,Nunavut,36214,320.0
2015,5320.0,839876.0,156200.0,Ontario,13657423,194644.0
2015,45.0,8072.0,1640.0,Prince Edward Island,144162,2522.0
2015,0.0,0.0,35.0,Province / Territory not stated,144949,0.0
2015,5.0,0.0,290.0,Province/territory not stated,144949,0.0
2015,2090.0,521998.0,53320.0,Quebec,8160176,128318.0
2015,605.0,91824.0,7455.0,Saskatchewan,1117137,18788.0
2015,0.0,0.0,0.0,Unknown province or territory,1125588,0.0
2015,0.0,0.0,0.0,Unknown province or territory of residence,1125588,0.0
2015,15.0,2586.0,50.0,Yukon,37123,434.0
2016,4685.0,335448.0,27210.0,Alberta,4171847,49096.0
2016,3840.0,271458.0,103075.0,British Columbia,4807562,73254.0
2016,27275.0,2302890.0,426455.0,Canada,36565000,534426.0
2016,1185.0,101344.0,14220.0,Manitoba,1302938,21486.0
2016,710.0,39722.0,4765.0,New Brunswick,760679,14330.0
2016,110.0,26696.0,3495.0,Newfoundland and Labrador,528903,10004.0
2016,10.0,3872.0,45.0,Northwest Territories,44515,474.0
2016,695.0,49838.0,12615.0,Nova Scotia,938973,17988.0
2016,5.0,5492.0,0.0,Nunavut,36718,366.0
2016,10300.0,847004.0,191665.0,Ontario,13774364,198838.0
2016,145.0,8392.0,2105.0,Prince Edward Island,145238,2296.0
2016,0.0,0.0,135.0,Province / Territory not stated,147699,0.0
2016,5.0,0.0,1040.0,Province/territory not stated,147699,0.0
2016,4335.0,517672.0,57795.0,Quebec,8193831,127030.0
2016,1225.0,93312.0,8195.0,Saskatchewan,1128160,18828.0
2016,0.0,0.0,0.0,Unknown province or territory,1139492,0.0
2016,0.0,0.0,0.0,Unknown province or territory of residence,1139492,0.0
2016,25.0,2640.0,95.0,Yukon,37756,436.0
2017,4425.0,322054.0,28690.0,Alberta,4215506,51080.0
2017,3625.0,267760.0,119470.0,British Columbia,4894147,76980.0
2017,1105.0,102170.0,16890.0,Manitoba,1324044,22132.0
2017,210.0,39238.0,5015.0,New Brunswick,764612,14988.0
2017,50.0,24624.0,3825.0,Newfoundland and Labrador,530175,10294.0
2017,40.0,3694.0,50.0,Northwest Territories,44471,482.0
