Year,Province,Both sexes,Female,Male,Age 0-14,Age 15-64,Age 65+,Average Age
2005,Yukon,30031.0,14918.0,15117.0,5779.0,22078.0,2174.0,36.28
2006,Alberta,3290350.0,1643555.0,1646800.0,631515.0,2305420.0,353410.0,36.6
2006,British Columbia,4113485.0,2099500.0,2013990.0,679605.0,2834075.0,599810.0,40.1
2006,Canada,31612895.0,16136925.0,15475970.0,5579840.0,21697805.0,4335250.0,39.1
2006,Manitoba,1148400.0,585125.0,563275.0,225175.0,761340.0,161890.0,38.4
2006,New Brunswick,730000.0,374500.0,355500.0,118250.0,504110.0,107635.0,40.6
2006,Newfoundland and Labrador,505470.0,259735.0,245735.0,78225.0,356975.0,70265.0,40.6
2006,Northwest Territories,41465.0,20235.0,21225.0,9915.0,29570.0,1975.0,32.1
2006,Nova Scotia,913460.0,473630.0,439830.0,146435.0,628810.0,138215.0,40.8
2006,Nunavut,29470.0,14365.0,15110.0,10005.0,18660.0,810.0,26.3
2006,Ontario,12160280.0,6229580.0,5930700.0,2210800.0,8300305.0,1649180.0,38.7
2006,Prince Edward Island,135850.0,70255.0,65595.0,23985.0,91685.0,20185.0,39.9
2006,Quebec,7546130.0,3858435.0,3687695.0,1252505.0,5213335.0,1080290.0,40.1
2006,Saskatchewan,968160.0,492920.0,475240.0,187695.0,631155.0,149305.0,38.9
2006,Yukon,30370.0,15090.0,15285.0,5715.0,22370.0,2285.0,36.7
2007,Alberta,3361332.0,1678333.0,1683003.0,642170.0,2355285.0,363873.0,36.74
2007,British Columbia,4170799.0,2128291.0,2042513.0,679157.0,2874055.0,617592.0,40.32
2007,Canada,31985653.0,16322032.0,15663622.0,5585341.0,21943101.0,4457211.0,39.300000000000004
2007,Manitoba,1160374.0,590843.0,569530.0,226372.0,770004.0,164002.0,38.48
2007,New Brunswick,734234.0,376546.0,357687.0,117315.0,506080.0,110834.0,40.9
2007,Newfoundland and Labrador,507283.0,260582.0,246701.0,77906.0,356741.0,72633.0,40.9
2007,Northwest Territories,41464.0,20268.0,21193.0,9735.0,29667.0,2059.0,32.36
2007,Nova Scotia,915114.0,474132.0,440982.0,144791.0,629076.0,141246.0,41.04
2007,Nunavut,29957.0,14594.0,15367.0,10089.0,19012.0,860.0,26.48
2007,Ontario,12298588.0,6301401.0,5997188.0,2204795.0,8398789.0,1695009.0,38.940000000000005
2007,Prince Edward Island,136721.0,70724.0,65997.0,23799.0,92220.0,20705.0,40.18
2007,Quebec,7617504.0,3892176.0,3725328.0,1253728.0,5248007.0,1115769.0,40.28
2007,Saskatchewan,981205.0,498701.0,482503.0,189728.0,641287.0,150185.0,38.92
2007,Yukon,31076.0,15440.0,15639.0,5744.0,22884.0,2446.0,36.980000000000004
2008,Alberta,3432314.0,1713111.0,1719206.0,652825.0,2405150.0,374336.0,36.88
2008,British Columbia,4228113.0,2157082.0,2071036.0,678709.0,2914035.0,635374.0,40.54
2008,Canada,32358411.0,16507139.0,15851274.0,5590842.0,22188397.0,4579172.0,39.5
2008,Manitoba,1172348.0,596561.0,575785.0,227569.0,778668.0,166114.0,38.559999999999995
2008,New Brunswick,738468.0,378592.0,359874.0,116380.0,508050.0,114033.0,41.2
2008,Newfoundland and Labrador,509096.0,261429.0,247667.0,77587.0,356507.0,75001.0,41.2
2008,Northwest Territories,41463.0,20301.0,21161.0,9555.0,29764.0,2143.0,32.62
2008,Nova Scotia,916768.0,474634.0,442134.0,143147.0,629342.0,144277.0,41.28
