REF_DATE,GEO,Number_of_Households
1981-06-01,New Brunswick,218
1981-06-01,Newfoundland and Labrador,151
1981-06-01,Ontario,3030
1981-06-01,Prince Edward Island,38
1981-06-01,Quebec,2209
1981-06-01,Canada,8420
1981-07-01,Alberta,777
1981-07-01,British Columbia,1025
1981-07-01,Manitoba,361
1981-07-01,New Brunswick,218
1981-07-01,Newfoundland and Labrador,151
1981-07-01,Ontario,3030
1981-07-01,Prince Edward Island,38
1981-07-01,Quebec,2209
1981-07-01,Canada,8420
1981-08-01,Alberta,777
1981-08-01,British Columbia,1025
1981-08-01,Manitoba,361
1981-08-01,New Brunswick,218
1981-08-01,Newfoundland and Labrador,151
1981-08-01,Ontario,3030
1981-08-01,Prince Edward Island,38
1981-08-01,Quebec,2209
1981-08-01,Canada,8420
1981-09-01,Alberta,777
1981-09-01,British Columbia,1025
1981-09-01,Manitoba,361
1981-09-01,New Brunswick,218
1981-09-01,Newfoundland and Labrador,151
1981-09-01,Ontario,3030
1981-09-01,Prince Edward Island,38
1981-09-01,Quebec,2209
1981-09-01,Canada,8420
1981-10-01,Alberta,777
1981-10-01,British Columbia,1025
1981-10-01,Manitoba,361
1981-10-01,New Brunswick,218
1981-10-01,Newfoundland and Labrador,151
1981-10-01,Ontario,3030
1981-10-01,Prince Edward Island,38
1981-10-01,Quebec,2209
1981-10-01,Canada,8420
1981-11-01,Alberta,777
1981-11-01,British Columbia,1025
1981-11-01,Manitoba,361
1981-11-01,New Brunswick,218
1981-11-01,Newfoundland and Labrador,151
1981-11-01,Ontario,3030
1981-11-01,Prince Edward Island,38
1981-11-01,Quebec,2209
1981-11-01,Canada,8420
1981-12-01,Alberta,777
1981-12-01,British Columbia,1025
1981-12-01,Manitoba,361
1981-12-01,New Brunswick,218
1981-12-01,Newfoundland and Labrador,151
1981-12-01,Ontario,3030
1981-12-01,Prince Edward Island,38
1981-12-01,Quebec,2209
1981-12-01,Canada,8420
1982-01-01,Alberta,793
1982-01-01,British Columbia,1046
1982-01-01,Manitoba,367
1982-01-01,New Brunswick,222
1982-01-01,Newfoundland and Labrador,153
1982-01-01,Ontario,3090
1982-01-01,Prince Edward Island,39
1982-01-01,Quebec,2251
1982-01-01,Canada,8583
1982-02-01,Alberta,793
1982-02-01,British Columbia,1046
1982-02-01,Manitoba,367
1982-02-01,New Brunswick,222
1982-02-01,Newfoundland and Labrador,153
1982-02-01,Ontario,3090
1982-02-01,Prince Edward Island,39
1982-02-01,Quebec,2251
1982-02-01,Canada,8583
1982-03-01,Alberta,793
1982-03-01,British Columbia,1046
1982-03-01,Manitoba,367
1982-03-01,New Brunswick,222
1982-03-01,Newfoundland and Labrador,153
1982-03-01,Ontario,3090
1982-03-01,Prince Edward Island,39
1982-03-01,Quebec,2251
1982-03-01,Canada,8583
1982-04-01,Alberta,793
1982-04-01,British Columbia,1046
1982-04-01,Manitoba,367
1982-04-01,New Brunswick,222
1982-04-01,Newfoundland and Labrador,153
1982-04-01,Ontario,3090
1982-04-01,Prince Edward Island,39
1982-04-01,Quebec,2251
1982-04-01,Canada,8583
1982-05-01,Alberta,793
1982-05-01,British Columbia,1046
1982-05-01,Manitoba,367
1982-05-01,New Brunswick,222
1982-05-01,Newfoundland and Labrador,153
1982-05-01,Ontario,3090
1982-05-01,Prince Edward Island,39
1982-05-01,Quebec,2251
1982-05-01,Canada,8583
1982-06-01,Alberta,793
1982-06-01,British Columbia,1046
1982-06-01,Manitoba,367
1982-06-01,New Brunswick,222
1982-06-01,Newfoundland and Labrador,153
1982-06-01,Ontario,3090
1982-06-01,Prince Edward Island,39
1982-06-01,Quebec,2251
1982-06-01,Canada,8583
1982-07-01,Alberta,793
1982-07-01,British Columbia,1046
1982-07-01,Manitoba,367
1982-07-01,New Brunswick,222
1982-07-01,Newfoundland and Labrador,153
1982-07-01,Ontario,3090
1982-07-01,Prince Edward Island,39
1982-07-01,Quebec,2251
1982-07-01,Canada,8583
1982-08-01,Alberta,793
1982-08-01,British Columbia,1046
1982-08-01,Manitoba,367
