Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
2021,Saskatchewan,1055,11060,85922,22042,1167617.0
2021,Unknown province or territory,0,0,0,0,1168792.0
2021,Unknown province or territory of residence,0,0,0,0,1168792.0
2021,Yukon,10,305,0,0,42672.25
2022,Alberta,3370,45125,284630,65290,4503729.0
2022,British Columbia,6825,170700,250770,91626,5341279.25
2022,Manitoba,1490,22970,83102,25120,1410050.5
2022,New Brunswick,600,11700,37288,18310,806726.5
2022,Newfoundland and Labrador,195,6340,21122,12812,530679.0
2022,Northwest Territories,20,60,3012,624,44690.5
2022,Northwest Territories including Nunavut,0,0,0,0,44588.0
2022,Nova Scotia,1035,21215,47220,22690,1021422.0
2022,Nunavut,5,10,4230,438,40419.75
2022,Ontario,17265,423325,807968,249514,15117224.0
2022,Prince Edward Island,200,4615,7956,3232,166495.75
2022,Province / Territory not stated,0,10095,0,0,169032.0
2022,Province/territory not stated,5,925,0,0,169032.0
2022,Quebec,3270,98475,478486,155656,8661918.5
2022,Saskatchewan,1135,13590,79016,22850,1177684.25
2022,Unknown province or territory,0,0,0,0,1187854.0
2022,Unknown province or territory of residence,0,0,0,0,1187854.0
2022,Yukon,40,280,0,0,43653.75
2023,Alberta,5705,67410,289532,64108,4666165.25
