"REF_DATE","GEO","DGUID","Type of expenditure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1949/1950","Ontario","","Total operating expenditures","Dollars","81","thousands","3","v1568069","8.7","5312","","","","0"
"1949/1950","Ontario","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568066","8.4","1526","","","","0"
"1949/1950","Ontario","","Teachers salaries","Dollars","81","thousands","3","v1568064","8.2","1526","","","","0"
"1949/1950","Ontario","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568067","8.5","","..","","","0"
"1949/1950","Ontario","","Other operating expenditures","Dollars","81","thousands","3","v1568068","8.6","3786","","","","0"
"1949/1950","Ontario","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568070","8.8","0","","","","0"
"1949/1950","Manitoba","","Total expenditures","Dollars","81","thousands","3","v1568071","9.1","658","","","","0"
"1949/1950","Manitoba","","Total operating expenditures","Dollars","81","thousands","3","v1568077","9.7","658","","","","0"
"1949/1950","Manitoba","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568074","9.4","200","","","","0"
"1949/1950","Manitoba","","Teachers salaries","Dollars","81","thousands","3","v1568072","9.2","200","","","","0"
"1949/1950","Manitoba","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568075","9.5","","..","","","0"
"1949/1950","Manitoba","","Other operating expenditures","Dollars","81","thousands","3","v1568076","9.6","458","","","","0"
"1949/1950","Manitoba","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568078","9.8","0","","","","0"
"1949/1950","Saskatchewan","","Total expenditures","Dollars","81","thousands","3","v1568079","10.1","569","","","","0"
"1949/1950","Saskatchewan","","Total operating expenditures","Dollars","81","thousands","3","v1568085","10.7","569","","","","0"
"1949/1950","Saskatchewan","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568082","10.4","110","","","","0"
"1949/1950","Saskatchewan","","Teachers salaries","Dollars","81","thousands","3","v1568080","10.2","110","","","","0"
"1949/1950","Saskatchewan","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568083","10.5","","..","","","0"
"1949/1950","Saskatchewan","","Other operating expenditures","Dollars","81","thousands","3","v1568084","10.6","459","","","","0"
"1949/1950","Saskatchewan","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568086","10.8","0","","","","0"
"1949/1950","Alberta","","Total expenditures","Dollars","81","thousands","3","v1568087","11.1","1050","","","","0"
"1949/1950","Alberta","","Total operating expenditures","Dollars","81","thousands","3","v1568093","11.7","1050","","","","0"
"1949/1950","Alberta","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568090","11.4","307","","","","0"
"1949/1950","Alberta","","Teachers salaries","Dollars","81","thousands","3","v1568088","11.2","307","","","","0"
"1949/1950","Alberta","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568091","11.5","","..","","","0"
"1949/1950","Alberta","","Other operating expenditures","Dollars","81","thousands","3","v1568092","11.6","743","","","","0"
