,REF_DATE,GEO,Total_Births,Total_Deaths
626,1999,Unknown province or territory of residence,,208.0
627,1999,"Yukon, place of residence",,470.0
628,2000,"Alberta, place of residence",,34746.1
629,2000,"British Columbia, place of residence",,55120.1
630,2000,"Canada, place of residence",,436323.9
631,2000,"Manitoba, place of residence",,19984.1
632,2000,"New Brunswick, place of residence",,12376.0
633,2000,"Newfoundland and Labrador, place of residence",,8878.0
634,2000,"Northwest Territories, place of residence",,514.0
635,2000,"Nova Scotia, place of residence",,15958.0
636,2000,"Nunavut, place of residence",,460.0
637,2000,"Ontario, place of residence",,162780.0
638,2000,"Prince Edward Island, place of residence",,2658.0
639,2000,"Quebec, place of residence",,106580.1
640,2000,"Saskatchewan, place of residence",,18112.0
641,2000,Unknown province or territory of residence,,246.0
642,2000,"Yukon, place of residence",,512.1
643,2001,"Alberta, place of residence",,35358.0
644,2001,"British Columbia, place of residence",,56906.0
645,2001,"Canada, place of residence",,439276.0
646,2001,"Manitoba, place of residence",,19668.0
647,2001,"New Brunswick, place of residence",,12324.0
648,2001,"Newfoundland and Labrador, place of residence",,8502.1
649,2001,"Northwest Territories, place of residence",,526.0
650,2001,"Nova Scotia, place of residence",,15958.0
651,2001,"Nunavut, place of residence",,446.1
652,2001,"Ontario, place of residence",,162628.0
653,2001,"Prince Edward Island, place of residence",,2520.0
654,2001,"Quebec, place of residence",,108588.1
655,2001,"Saskatchewan, place of residence",,17680.0
656,2001,Unknown province or territory of residence,,304.0
657,2001,"Yukon, place of residence",,468.0
658,2002,"Alberta, place of residence",,36668.1
659,2002,"British Columbia, place of residence",,57965.9
660,2002,"Canada, place of residence",,447405.9
661,2002,"Manitoba, place of residence",,19897.9
662,2002,"New Brunswick, place of residence",,12392.0
663,2002,"Newfoundland and Labrador, place of residence",,8566.0
664,2002,"Northwest Territories, place of residence",,538.0
665,2002,"Nova Scotia, place of residence",,16194.0
666,2002,"Nunavut, place of residence",,454.0
667,2002,"Ontario, place of residence",,164668.0
668,2002,"Prince Edward Island, place of residence",,2672.0
669,2002,"Quebec, place of residence",,111268.0
670,2002,"Saskatchewan, place of residence",,18012.0
671,2002,Unknown province or territory of residence,,216.0
672,2002,"Yukon, place of residence",,494.0
673,2003,"Alberta, place of residence",,37370.0
674,2003,"British Columbia, place of residence",,58840.0
675,2003,"Canada, place of residence",,452538.1
676,2003,"Manitoba, place of residence",,19934.0
677,2003,"New Brunswick, place of residence",,12714.0
678,2003,"Newfoundland and Labrador, place of residence",,8762.1
679,2003,"Northwest Territories, place of residence",,604.0
680,2003,"Nova Scotia, place of residence",,16328.0
681,2003,"Nunavut, place of residence",,468.0
682,2003,"Ontario, place of residence",,168614.1
683,2003,"Prince Edward Island, place of residence",,2566.0
684,2003,"Quebec, place of residence",,110054.0
685,2003,"Saskatchewan, place of residence",,18214.0
686,2003,Unknown province or territory of residence,,204.0
687,2003,"Yukon, place of residence",,466.0
688,2004,"Alberta, place of residence",,37550.0
689,2004,"British Columbia, place of residence",,60046.0
690,2004,"Canada, place of residence",,453368.0
691,2004,"Manitoba, place of residence",,20006.0
692,2004,"New Brunswick, place of residence",,12694.0
693,2004,"Newfoundland and Labrador, place of residence",,8815.9
694,2004,"Northwest Territories, place of residence",,506.1
695,2004,"Nova Scotia, place of residence",,16682.0
696,2004,"Nunavut, place of residence",,442.1
697,2004,"Ontario, place of residence",,166483.9
698,2004,"Prince Edward Island, place of residence",,2645.9
699,2004,"Quebec, place of residence",,111447.9
700,2004,"Saskatchewan, place of residence",,17888.0
701,2004,Unknown province or territory of residence,,227.9
702,2004,"Yukon, place of residence",,532.0
703,2005,"Alberta, place of residence",,38776.0
704,2005,"British Columbia, place of residence",,60654.0
705,2005,"Canada, place of residence",,460464.1
706,2005,"Manitoba, place of residence",,19912.0
707,2005,"New Brunswick, place of residence",,12550.0
708,2005,"Newfoundland and Labrador, place of residence",,9172.0
709,2005,"Northwest Territories, place of residence",,495.9
710,2005,"Nova Scotia, place of residence",,16745.9
711,2005,"Nunavut, place of residence",,430.0
712,2005,"Ontario, place of residence",,171382.0
713,2005,"Prince Edward Island, place of residence",,2435.9
714,2005,"Quebec, place of residence",,111774.0
715,2005,"Saskatchewan, place of residence",,17900.0
716,2005,Unknown province or territory of residence,,308.1
717,2005,"Yukon, place of residence",,528.1
718,2006,"Alberta, place of residence",,39280.0
719,2006,"British Columbia, place of residence",,61575.9
720,2006,"Canada, place of residence",,456358.0
721,2006,"Manitoba, place of residence",,19748.0
722,2006,"New Brunswick, place of residence",,12219.9
723,2006,"Newfoundland and Labrador, place of residence",,9186.0
724,2006,"Northwest Territories, place of residence",,563.9
725,2006,"Nova Scotia, place of residence",,16376.0
726,2006,"Nunavut, place of residence",,458.0
727,2006,"Ontario, place of residence",,169248.1
728,2006,"Prince Edward Island, place of residence",,2544.0
729,2006,"Quebec, place of residence",,108680.0
730,2006,"Saskatchewan, place of residence",,18308.0
731,2006,Unknown province or territory of residence,,214.0
732,2006,"Yukon, place of residence",,556.0
733,2007,"Alberta, place of residence",,40604.1
734,2007,"British Columbia, place of residence",,62816.0
735,2007,"Canada, place of residence",,470634.0
736,2007,"Manitoba, place of residence",,20116.0
737,2007,"New Brunswick, place of residence",,12848.0
738,2007,"Newfoundland and Labrador, place of residence",,9210.0
739,2007,"Northwest Territories, place of residence",,548.0
740,2007,"Nova Scotia, place of residence",,16906.0
741,2007,"Nunavut, place of residence",,458.0
742,2007,"Ontario, place of residence",,174880.0
743,2007,"Prince Edward Island, place of residence",,2493.9
744,2007,"Quebec, place of residence",,113241.9
745,2007,"Saskatchewan, place of residence",,18324.0
746,2007,Unknown province or territory of residence,,204.0
747,2007,"Yukon, place of residence",,584.0
748,2008,"Alberta, place of residence",,42358.0
749,2008,"British Columbia, place of residence",,64390.0
750,2008,"Canada, place of residence",,477434.0
751,2008,"Manitoba, place of residence",,20346.0
752,2008,"New Brunswick, place of residence",,13100.0
753,2008,"Newfoundland and Labrador, place of residence",,9278.0
754,2008,"Northwest Territories, place of residence",,602.0
755,2008,"Nova Scotia, place of residence",,16640.0
756,2008,"Nunavut, place of residence",,494.0
757,2008,"Ontario, place of residence",,176282.0
758,2008,"Prince Edward Island, place of residence",,2602.0
759,2008,"Quebec, place of residence",,114412.0
760,2008,"Saskatchewan, place of residence",,18686.0
761,2008,Unknown province or territory of residence,,248.1
762,2008,"Yukon, place of residence",,596.0
763,2009,"Alberta, place of residence",,42174.0
764,2009,"British Columbia, place of residence",,63079.9
765,2009,"Canada, place of residence",,477035.9
766,2009,"Manitoba, place of residence",,20144.0
767,2009,"New Brunswick, place of residence",,12932.0
768,2009,"Newfoundland and Labrador, place of residence",,8981.9
769,2009,"Northwest Territories, place of residence",,572.0
770,2009,"Nova Scotia, place of residence",,16654.0
771,2009,"Nunavut, place of residence",,524.0
772,2009,"Ontario, place of residence",,177136.0
773,2009,"Prince Edward Island, place of residence",,2736.0
774,2009,"Quebec, place of residence",,115738.0
775,2009,"Saskatchewan, place of residence",,18144.0
776,2009,Unknown province or territory of residence,,218.0
777,2009,"Yukon, place of residence",,602.0
778,2010,"Alberta, place of residence",,41710.0
779,2010,"British Columbia, place of residence",,62847.9
780,2010,"Canada, place of residence",,480350.0
781,2010,"Manitoba, place of residence",,20170.0
782,2010,"New Brunswick, place of residence",,12824.0
783,2010,"Newfoundland and Labrador, place of residence",,9162.0
784,2010,"Northwest Territories, place of residence",,568.0
785,2010,"Nova Scotia, place of residence",,16790.0
786,2010,"Nunavut, place of residence",,464.0
787,2010,"Ontario, place of residence",,178764.0
788,2010,"Prince Edward Island, place of residence",,2432.0
789,2010,"Quebec, place of residence",,117812.0
790,2010,"Saskatchewan, place of residence",,18610.0
791,2010,Unknown province or territory of residence,,0.0
792,2010,"Yukon, place of residence",,596.0
793,2011,"Alberta, place of residence",,42683.9
794,2011,"British Columbia, place of residence",,64132.0
795,2011,"Canada, place of residence",,487222.0
796,2011,"Manitoba, place of residence",,20700.0
797,2011,"New Brunswick, place of residence",,13022.0
798,2011,"Newfoundland and Labrador, place of residence",,9254.0
799,2011,"Northwest Territories, place of residence",,576.0
