"REF_DATE","GEO","DGUID","Age group","Participation rate by type of institution attended","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995/1996","Yukon","2021A000260","18 to 24 years","University","Percent","239","units","0","v99915351","12.1.4","16","C","","","0"
"1995/1996","Yukon","2021A000260","25 to 29 years","Total participation rate","Percent","239","units","0","v99915352","12.2.1","","x","","","0"
"1995/1996","Yukon","2021A000260","25 to 29 years","Elementary and/or High School","Percent","239","units","0","v99915353","12.2.2","","..","","","0"
"1995/1996","Yukon","2021A000260","25 to 29 years","College","Percent","239","units","0","v99915354","12.2.3","","x","","","0"
"1995/1996","Yukon","2021A000260","25 to 29 years","University","Percent","239","units","0","v99915355","12.2.4","","x","","","0"
"1995/1996","Yukon","2021A000260","30 to 34 years","Total participation rate","Percent","239","units","0","v99915356","12.3.1","7","C","","","0"
"1995/1996","Yukon","2021A000260","30 to 34 years","Elementary and/or High School","Percent","239","units","0","v99915357","12.3.2","","x","","","0"
"1995/1996","Yukon","2021A000260","30 to 34 years","College","Percent","239","units","0","v99915358","12.3.3","","x","","","0"
"1995/1996","Yukon","2021A000260","30 to 34 years","University","Percent","239","units","0","v99915359","12.3.4","","x","","","0"
"1995/1996","Northwest Territories","2021A000261","18 to 24 years","Total participation rate","Percent","239","units","0","v99915360","13.1.1","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","18 to 24 years","Elementary and/or High School","Percent","239","units","0","v99915361","13.1.2","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","18 to 24 years","College","Percent","239","units","0","v99915362","13.1.3","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","18 to 24 years","University","Percent","239","units","0","v99915363","13.1.4","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","25 to 29 years","Total participation rate","Percent","239","units","0","v99915364","13.2.1","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","25 to 29 years","Elementary and/or High School","Percent","239","units","0","v99915365","13.2.2","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","25 to 29 years","College","Percent","239","units","0","v99915366","13.2.3","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","25 to 29 years","University","Percent","239","units","0","v99915367","13.2.4","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","30 to 34 years","Total participation rate","Percent","239","units","0","v99915368","13.3.1","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","30 to 34 years","Elementary and/or High School","Percent","239","units","0","v99915369","13.3.2","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","30 to 34 years","College","Percent","239","units","0","v99915370","13.3.3","","..","","","0"
"1995/1996","Northwest Territories","2021A000261","30 to 34 years","University","Percent","239","units","0","v99915371","13.3.4","","..","","","0"
"1995/1996","Nunavut","2021A000262","18 to 24 years","Total participation rate","Percent","239","units","0","v99915372","14.1.1","","..","","","0"
"1995/1996","Nunavut","2021A000262","18 to 24 years","Elementary and/or High School","Percent","239","units","0","v99915373","14.1.2","","..","","","0"
"1995/1996","Nunavut","2021A000262","18 to 24 years","College","Percent","239","units","0","v99915374","14.1.3","","..","","","0"
"1995/1996","Nunavut","2021A000262","18 to 24 years","University","Percent","239","units","0","v99915375","14.1.4","","..","","","0"
"1995/1996","Nunavut","2021A000262","25 to 29 years","Total participation rate","Percent","239","units","0","v99915376","14.2.1","","..","","","0"
"1995/1996","Nunavut","2021A000262","25 to 29 years","Elementary and/or High School","Percent","239","units","0","v99915377","14.2.2","","..","","","0"
"1995/1996","Nunavut","2021A000262","25 to 29 years","College","Percent","239","units","0","v99915378","14.2.3","","..","","","0"
"1995/1996","Nunavut","2021A000262","25 to 29 years","University","Percent","239","units","0","v99915379","14.2.4","","..","","","0"
"1995/1996","Nunavut","2021A000262","30 to 34 years","Total participation rate","Percent","239","units","0","v99915380","14.3.1","","..","","","0"
"1995/1996","Nunavut","2021A000262","30 to 34 years","Elementary and/or High School","Percent","239","units","0","v99915381","14.3.2","","..","","","0"
"1995/1996","Nunavut","2021A000262","30 to 34 years","College","Percent","239","units","0","v99915382","14.3.3","","..","","","0"
"1995/1996","Nunavut","2021A000262","30 to 34 years","University","Percent","239","units","0","v99915383","14.3.4","","..","","","0"
"2000/2001","Canada","2021A000011124","18 to 24 years","Total participation rate","Percent","239","units","0","v99915216","1.1.1","43","A","","","0"
"2000/2001","Canada","2021A000011124","18 to 24 years","Elementary and/or High School","Percent","239","units","0","v99915217","1.1.2","9","A","","","0"
"2000/2001","Canada","2021A000011124","18 to 24 years","College","Percent","239","units","0","v99915218","1.1.3","15","A","","","0"
"2000/2001","Canada","2021A000011124","18 to 24 years","University","Percent","239","units","0","v99915219","1.1.4","19","A","","","0"
"2000/2001","Canada","2021A000011124","25 to 29 years","Total participation rate","Percent","239","units","0","v99915220","1.2.1","11","A","","","0"
"2000/2001","Canada","2021A000011124","25 to 29 years","Elementary and/or High School","Percent","239","units","0","v99915221","1.2.2","0","B","","","0"
"2000/2001","Canada","2021A000011124","25 to 29 years","College","Percent","239","units","0","v99915222","1.2.3","4","A","","","0"
"2000/2001","Canada","2021A000011124","25 to 29 years","University","Percent","239","units","0","v99915223","1.2.4","6","A","","","0"
"2000/2001","Canada","2021A000011124","30 to 34 years","Total participation rate","Percent","239","units","0","v99915224","1.3.1","6","A","","","0"
"2000/2001","Canada","2021A000011124","30 to 34 years","Elementary and/or High School","Percent","239","units","0","v99915225","1.3.2","0","B","","","0"
"2000/2001","Canada","2021A000011124","30 to 34 years","College","Percent","239","units","0","v99915226","1.3.3","3","B","","","0"
"2000/2001","Canada","2021A000011124","30 to 34 years","University","Percent","239","units","0","v99915227","1.3.4","3","B","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","18 to 24 years","Total participation rate","Percent","239","units","0","v99915228","2.1.1","45","A","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","18 to 24 years","Elementary and/or High School","Percent","239","units","0","v99915229","2.1.2","6","B","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","18 to 24 years","College","Percent","239","units","0","v99915230","2.1.3","13","B","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","18 to 24 years","University","Percent","239","units","0","v99915231","2.1.4","25","B","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","25 to 29 years","Total participation rate","Percent","239","units","0","v99915232","2.2.1","10","B","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","25 to 29 years","Elementary and/or High School","Percent","239","units","0","v99915233","2.2.2","","..","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","25 to 29 years","College","Percent","239","units","0","v99915234","2.2.3","3","C","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","25 to 29 years","University","Percent","239","units","0","v99915235","2.2.4","6","C","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","30 to 34 years","Total participation rate","Percent","239","units","0","v99915236","2.3.1","6","C","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","30 to 34 years","Elementary and/or High School","Percent","239","units","0","v99915237","2.3.2","","x","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","30 to 34 years","College","Percent","239","units","0","v99915238","2.3.3","3","C","","","0"
"2000/2001","Newfoundland and Labrador","2021A000210","30 to 34 years","University","Percent","239","units","0","v99915239","2.3.4","3","C","","","0"
"2000/2001","Prince Edward Island","2021A000211","18 to 24 years","Total participation rate","Percent","239","units","0","v99915240","3.1.1","41","A","","","0"
"2000/2001","Prince Edward Island","2021A000211","18 to 24 years","Elementary and/or High School","Percent","239","units","0","v99915241","3.1.2","6","B","","","0"
"2000/2001","Prince Edward Island","2021A000211","18 to 24 years","College","Percent","239","units","0","v99915242","3.1.3","12","B","","","0"
"2000/2001","Prince Edward Island","2021A000211","18 to 24 years","University","Percent","239","units","0","v99915243","3.1.4","23","B","","","0"
