REF_DATE,GEO,Number_of_Households
1983-05-01,New Brunswick,226000
1983-05-01,Newfoundland and Labrador,155000
1983-05-01,Ontario,3150000
1983-05-01,Prince Edward Island,39000
1983-05-01,Quebec,2294000
1983-06-01,Alberta,810000
1983-06-01,British Columbia,1068000
1983-06-01,Canada,8748000
1983-06-01,Manitoba,373000
1983-06-01,New Brunswick,226000
1983-06-01,Newfoundland and Labrador,155000
1983-06-01,Ontario,3150000
1983-06-01,Prince Edward Island,39000
1983-06-01,Quebec,2294000
1983-07-01,Alberta,810000
1983-07-01,British Columbia,1068000
1983-07-01,Canada,8748000
1983-07-01,Manitoba,373000
1983-07-01,New Brunswick,226000
1983-07-01,Newfoundland and Labrador,155000
1983-07-01,Ontario,3150000
1983-07-01,Prince Edward Island,39000
1983-07-01,Quebec,2294000
1983-08-01,Alberta,810000
1983-08-01,British Columbia,1068000
