"REF_DATE","GEO","DGUID","Index categories","Base year","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Manitoba","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1027004","8.5.1","27.75","","","","2"
"1971","Manitoba","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1027005","8.5.2","22.41","","","","2"
"1971","Manitoba","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1027006","8.6.1","28.19","","","","2"
"1971","Manitoba","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1027007","8.6.2","23.06","","","","2"
"1971","Manitoba","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1027008","8.7.1","23.81","","","","2"
"1971","Manitoba","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1027009","8.7.2","20.84","","","","2"
"1971","Manitoba","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1027010","8.8.1","31.80","","","","2"
"1971","Manitoba","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1027011","8.8.2","21.25","","","","2"
"1971","Saskatchewan","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1027012","9.1.1","28.92","","","","2"
"1971","Saskatchewan","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1027013","9.1.2","24.11","","","","2"
"1971","Saskatchewan","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1027014","9.2.1","29.37","","","","2"
"1971","Saskatchewan","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1027015","9.2.2","24.98","","","","2"
"1971","Saskatchewan","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1027016","9.3.1","29.60","","","","2"
"1971","Saskatchewan","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1027017","9.3.2","25.27","","","","2"
"1971","Saskatchewan","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1027018","9.4.1","27.79","","","","2"
"1971","Saskatchewan","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1027019","9.4.2","23.04","","","","2"
"1971","Saskatchewan","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1027020","9.5.1","27.44","","","","2"
"1971","Saskatchewan","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1027021","9.5.2","21.38","","","","2"
"1971","Saskatchewan","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1027022","9.6.1","28.19","","","","2"
"1971","Saskatchewan","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1027023","9.6.2","23.06","","","","2"
"1971","Saskatchewan","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1027024","9.7.1","21.89","","","","2"
"1971","Saskatchewan","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1027025","9.7.2","19.67","","","","2"
"1971","Saskatchewan","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1027026","9.8.1","31.13","","","","2"
"1971","Saskatchewan","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1027027","9.8.2","21.38","","","","2"
"1971","Alberta","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1027028","10.1.1","30.13","","","","2"
"1971","Alberta","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1027029","10.1.2","23.92","","","","2"
"1971","Alberta","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1027030","10.2.1","30.76","","","","2"
"1971","Alberta","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1027031","10.2.2","24.53","","","","2"
"1971","Alberta","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1027032","10.3.1","31.33","","","","2"
"1971","Alberta","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1027033","10.3.2","24.94","","","","2"
"1971","Alberta","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1027034","10.4.1","27.59","","","","2"
"1971","Alberta","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1027035","10.4.2","22.67","","","","2"
"1971","Alberta","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1027036","10.5.1","27.24","","","","2"
"1971","Alberta","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1027037","10.5.2","21.22","","","","2"
"1971","Alberta","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1027038","10.6.1","28.19","","","","2"
"1971","Alberta","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1027039","10.6.2","23.06","","","","2"
"1971","Alberta","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1027040","10.7.1","23.58","","","","2"
"1971","Alberta","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1027041","10.7.2","20.71","","","","2"
"1971","Alberta","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1027042","10.8.1","29.86","","","","2"
"1971","Alberta","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1027043","10.8.2","20.28","","","","2"
"1971","British Columbia","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1027044","11.1.1","30.19","","","","2"
"1971","British Columbia","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1027045","11.1.2","22.63","","","","2"
"1971","British Columbia","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1027046","11.2.1","31.13","","","","2"
"1971","British Columbia","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1027047","11.2.2","22.97","","","","2"
"1971","British Columbia","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1027048","11.3.1","31.82","","","","2"
"1971","British Columbia","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1027049","11.3.2","23.05","","","","2"
"1971","British Columbia","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1027050","11.4.1","27.79","","","","2"
"1971","British Columbia","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1027051","11.4.2","22.84","","","","2"
"1971","British Columbia","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1027052","11.5.1","25.06","","","","2"
"1971","British Columbia","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1027053","11.5.2","21.05","","","","2"
"1971","British Columbia","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1027054","11.6.1","28.19","","","","2"
"1971","British Columbia","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1027055","11.6.2","23.06","","","","2"
"1971","British Columbia","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1027056","11.7.1","22.67","","","","2"
"1971","British Columbia","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1027057","11.7.2","20.56","","","","2"
"1971","British Columbia","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1027058","11.8.1","25.15","","","","2"
"1971","British Columbia","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1027059","11.8.2","18.47","","","","2"
"1972","Canada","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1026884","1.1.1","31.20","","","","2"
"1972","Canada","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1026885","1.1.2","23.88","","","","2"
"1972","Canada","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1026886","1.2.1","32.02","","","","2"
"1972","Canada","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1026887","1.2.2","24.51","","","","2"
"1972","Canada","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026888","1.3.1","32.58","","","","2"
"1972","Canada","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026889","1.3.2","24.76","","","","2"
"1972","Canada","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026890","1.4.1","28.15","","","","2"
"1972","Canada","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026891","1.4.2","22.93","","","","2"
"1972","Canada","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1026892","1.5.1","27.72","","","","2"
"1972","Canada","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1026893","1.5.2","21.20","","","","2"
"1972","Canada","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1026894","1.6.1","28.61","","","","2"
"1972","Canada","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1026895","1.6.2","23.40","","","","2"
"1972","Canada","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1026896","1.7.1","24.39","","","","2"
"1972","Canada","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1026897","1.7.2","21.13","","","","2"
"1972","Canada","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1026898","1.8.1","29.86","","","","2"
"1972","Canada","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1026899","1.8.2","20.21","","","","2"
"1972","Newfoundland and Labrador","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1026900","2.1.1","31.68","","","","2"
"1972","Newfoundland and Labrador","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1026901","2.1.2","24.86","","","","2"
"1972","Newfoundland and Labrador","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1026902","2.2.1","32.46","","","","2"
"1972","Newfoundland and Labrador","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1026903","2.2.2","25.51","","","","2"
"1972","Newfoundland and Labrador","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026904","2.3.1","32.72","","","","2"
"1972","Newfoundland and Labrador","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026905","2.3.2","25.75","","","","2"
"1972","Newfoundland and Labrador","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026906","2.4.1","28.72","","","","2"
"1972","Newfoundland and Labrador","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026907","2.4.2","22.12","","","","2"
"1972","Newfoundland and Labrador","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1026908","2.5.1","28.32","","","","2"
"1972","Newfoundland and Labrador","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1026909","2.5.2","21.79","","","","2"
"1972","Newfoundland and Labrador","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1026910","2.6.1","28.61","","","","2"
"1972","Newfoundland and Labrador","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1026911","2.6.2","23.40","","","","2"
"1972","Newfoundland and Labrador","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1026912","2.7.1","25.09","","","","2"
"1972","Newfoundland and Labrador","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1026913","2.7.2","22.11","","","","2"
"1972","Newfoundland and Labrador","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1026914","2.8.1","30.34","","","","2"
"1972","Newfoundland and Labrador","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1026915","2.8.2","20.29","","","","2"
"1972","Prince Edward Island","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1026916","3.1.1","29.60","","","","2"
