REF_DATE,Province,Number_of_Households
1981-07,Ontario,3030
1981-07,Prince Edward Island,38
1981-07,Quebec,2209
1981-07,Saskatchewan,335
1981-08,Alberta,777
1981-08,British Columbia,1025
1981-08,Manitoba,361
1981-08,New Brunswick,218
1981-08,Newfoundland and Labrador,151
1981-08,Nova Scotia,276
1981-08,Ontario,3030
1981-08,Prince Edward Island,38
1981-08,Quebec,2209
1981-08,Saskatchewan,335
1981-09,Alberta,777
1981-09,British Columbia,1025
1981-09,Manitoba,361
1981-09,New Brunswick,218
1981-09,Newfoundland and Labrador,151
1981-09,Nova Scotia,276
1981-09,Ontario,3030
1981-09,Prince Edward Island,38
1981-09,Quebec,2209
1981-09,Saskatchewan,335
1981-10,Alberta,777
1981-10,British Columbia,1025
1981-10,Manitoba,361
1981-10,New Brunswick,218
1981-10,Newfoundland and Labrador,151
1981-10,Nova Scotia,276
1981-10,Ontario,3030
1981-10,Prince Edward Island,38
1981-10,Quebec,2209
1981-10,Saskatchewan,335
1981-11,Alberta,777
1981-11,British Columbia,1025
1981-11,Manitoba,361
1981-11,New Brunswick,218
1981-11,Newfoundland and Labrador,151
1981-11,Nova Scotia,276
1981-11,Ontario,3030
1981-11,Prince Edward Island,38
1981-11,Quebec,2209
1981-11,Saskatchewan,335
1981-12,Alberta,777
1981-12,British Columbia,1025
1981-12,Manitoba,361
1981-12,New Brunswick,218
1981-12,Newfoundland and Labrador,151
1981-12,Nova Scotia,276
1981-12,Ontario,3030
1981-12,Prince Edward Island,38
1981-12,Quebec,2209
1981-12,Saskatchewan,335
1982-01,Alberta,793
1982-01,British Columbia,1046
1982-01,Manitoba,367
1982-01,New Brunswick,222
1982-01,Newfoundland and Labrador,153
1982-01,Nova Scotia,281
1982-01,Ontario,3090
1982-01,Prince Edward Island,39
1982-01,Quebec,2251
1982-01,Saskatchewan,341
1982-02,Alberta,793
1982-02,British Columbia,1046
1982-02,Manitoba,367
1982-02,New Brunswick,222
1982-02,Newfoundland and Labrador,153
1982-02,Nova Scotia,281
1982-02,Ontario,3090
1982-02,Prince Edward Island,39
1982-02,Quebec,2251
1982-02,Saskatchewan,341
1982-03,Alberta,793
1982-03,British Columbia,1046
1982-03,Manitoba,367
1982-03,New Brunswick,222
1982-03,Newfoundland and Labrador,153
1982-03,Nova Scotia,281
1982-03,Ontario,3090
1982-03,Prince Edward Island,39
1982-03,Quebec,2251
1982-03,Saskatchewan,341
1982-04,Alberta,793
1982-04,British Columbia,1046
1982-04,Manitoba,367
1982-04,New Brunswick,222
1982-04,Newfoundland and Labrador,153
1982-04,Nova Scotia,281
1982-04,Ontario,3090
1982-04,Prince Edward Island,39
1982-04,Quebec,2251
1982-04,Saskatchewan,341
1982-05,Alberta,793
1982-05,British Columbia,1046
1982-05,Manitoba,367
1982-05,New Brunswick,222
1982-05,Newfoundland and Labrador,153
1982-05,Nova Scotia,281
1982-05,Ontario,3090
1982-05,Prince Edward Island,39
1982-05,Quebec,2251
1982-05,Saskatchewan,341
1982-06,Alberta,793
1982-06,British Columbia,1046
1982-06,Manitoba,367
1982-06,New Brunswick,222
1982-06,Newfoundland and Labrador,153
1982-06,Nova Scotia,281
1982-06,Ontario,3090
1982-06,Prince Edward Island,39
1982-06,Quebec,2251
1982-06,Saskatchewan,341
1982-07,Alberta,793
1982-07,British Columbia,1046
1982-07,Manitoba,367
1982-07,New Brunswick,222
1982-07,Newfoundland and Labrador,153
1982-07,Nova Scotia,281
1982-07,Ontario,3090
1982-07,Prince Edward Island,39
1982-07,Quebec,2251
1982-07,Saskatchewan,341
1982-08,Alberta,793
1982-08,British Columbia,1046
1982-08,Manitoba,367
1982-08,New Brunswick,222
1982-08,Newfoundland and Labrador,153
1982-08,Nova Scotia,281
1982-08,Ontario,3090
1982-08,Prince Edward Island,39
1982-08,Quebec,2251
1982-08,Saskatchewan,341
1982-09,Alberta,793
1982-09,British Columbia,1046
1982-09,Manitoba,367
1982-09,New Brunswick,222
1982-09,Newfoundland and Labrador,153
1982-09,Nova Scotia,281
1982-09,Ontario,3090
1982-09,Prince Edward Island,39
1982-09,Quebec,2251
1982-09,Saskatchewan,341
1982-10,Alberta,793
1982-10,British Columbia,1046
1982-10,Manitoba,367
1982-10,New Brunswick,222
1982-10,Newfoundland and Labrador,153
1982-10,Nova Scotia,281
1982-10,Ontario,3090
1982-10,Prince Edward Island,39
1982-10,Quebec,2251
1982-10,Saskatchewan,341
1982-11,Alberta,793
1982-11,British Columbia,1046
1982-11,Manitoba,367
1982-11,New Brunswick,222
1982-11,Newfoundland and Labrador,153
1982-11,Nova Scotia,281
1982-11,Ontario,3090
1982-11,Prince Edward Island,39
1982-11,Quebec,2251
1982-11,Saskatchewan,341
1982-12,Alberta,793
1982-12,British Columbia,1046
1982-12,Manitoba,367
1982-12,New Brunswick,222
1982-12,Newfoundland and Labrador,153
1982-12,Nova Scotia,281
1982-12,Ontario,3090
1982-12,Prince Edward Island,39
1982-12,Quebec,2251
1982-12,Saskatchewan,341
1983-01,Alberta,810
1983-01,British Columbia,1068
1983-01,Manitoba,373
1983-01,New Brunswick,226
1983-01,Newfoundland and Labrador,155
1983-01,Nova Scotia,286
1983-01,Ontario,3150
1983-01,Prince Edward Island,39
1983-01,Quebec,2294
1983-01,Saskatchewan,347
1983-02,Alberta,810
1983-02,British Columbia,1068
1983-02,Manitoba,373
1983-02,New Brunswick,226
1983-02,Newfoundland and Labrador,155
1983-02,Nova Scotia,286
1983-02,Ontario,3150
1983-02,Prince Edward Island,39
1983-02,Quebec,2294
1983-02,Saskatchewan,347
1983-03,Alberta,810
1983-03,British Columbia,1068
1983-03,Manitoba,373
