REF_DATE,Province,Number_of_Households
1982-02-28,Manitoba,367
1982-02-28,New Brunswick,222
1982-02-28,Newfoundland and Labrador,153
1982-02-28,Nova Scotia,281
1982-02-28,Ontario,3090
1982-02-28,Prince Edward Island,39
1982-02-28,Quebec,2251
1982-02-28,Saskatchewan,341
1982-03-31,Alberta,793
1982-03-31,British Columbia,1046
1982-03-31,Manitoba,367
1982-03-31,New Brunswick,222
1982-03-31,Newfoundland and Labrador,153
1982-03-31,Nova Scotia,281
1982-03-31,Ontario,3090
1982-03-31,Prince Edward Island,39
1982-03-31,Quebec,2251
1982-03-31,Saskatchewan,341
1982-04-30,Alberta,793
1982-04-30,British Columbia,1046
1982-04-30,Manitoba,367
1982-04-30,New Brunswick,222
1982-04-30,Newfoundland and Labrador,153
1982-04-30,Nova Scotia,281
1982-04-30,Ontario,3090
1982-04-30,Prince Edward Island,39
1982-04-30,Quebec,2251
1982-04-30,Saskatchewan,341
1982-05-31,Alberta,793
1982-05-31,British Columbia,1046
1982-05-31,Manitoba,367
1982-05-31,New Brunswick,222
1982-05-31,Newfoundland and Labrador,153
1982-05-31,Nova Scotia,281
1982-05-31,Ontario,3090
1982-05-31,Prince Edward Island,39
1982-05-31,Quebec,2251
1982-05-31,Saskatchewan,341
1982-06-30,Alberta,793
1982-06-30,British Columbia,1046
1982-06-30,Manitoba,367
1982-06-30,New Brunswick,222
1982-06-30,Newfoundland and Labrador,153
1982-06-30,Nova Scotia,281
1982-06-30,Ontario,3090
1982-06-30,Prince Edward Island,39
1982-06-30,Quebec,2251
1982-06-30,Saskatchewan,341
1982-07-31,Alberta,793
1982-07-31,British Columbia,1046
1982-07-31,Manitoba,367
1982-07-31,New Brunswick,222
1982-07-31,Newfoundland and Labrador,153
1982-07-31,Nova Scotia,281
1982-07-31,Ontario,3090
1982-07-31,Prince Edward Island,39
1982-07-31,Quebec,2251
1982-07-31,Saskatchewan,341
1982-08-31,Alberta,793
1982-08-31,British Columbia,1046
