Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate,Net Change,Population Growth Rate (%),Immigration Contribution (%),Birth-Death Ratio,Migration Ratio (PRs/TRs)
2002,Northwest Territories,0.0,30.0,1937.0,169.0,41507.0,1798.0,1.686735181351584,1.668520578420467,11.461538461538462,0.0
2002,Northwest Territories including Nunavut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Nova Scotia,0.0,4400.0,26172.0,7997.0,934763.25,22575.0,0.1843430087512088,19.4905869324474,3.272727272727273,0.0
2002,Nunavut,0.0,5.0,2156.0,127.0,28596.5,2034.0,2.094806272815708,0.24582104228121926,16.976377952755904,0.0
2002,Ontario,0.0,62555.0,387678.0,82234.0,12062059.0,367999.0,1.6644651203227667,16.998687496433416,4.714327407155191,0.0
2002,Prince Edward Island,0.0,260.0,3984.0,1236.0,136928.75,3008.0,0.23718062512467775,8.643617021276597,3.2233009708737863,0.0
2002,Province / Territory not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Quebec,0.0,24910.0,216635.0,55534.0,7435487.0,186011.0,0.5987771994647728,13.391681137137052,3.9009435661036482,0.0
2002,Saskatchewan,0.0,3270.0,35288.0,8906.0,997428.0,29652.0,-0.37326514610478423,11.027923917442331,3.962272625196497,0.0
2002,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,Unknown province or territory of residence,0.0,0.0,0.0,16.0,0.0,-16.0,0.0,-0.0,0.0,0.0
2002,Yukon,0.0,50.0,1017.0,147.0,30226.75,920.0,0.3294332420546109,5.434782608695652,6.918367346938775,0.0
2003,Alberta,0.0,11580.0,120855.0,18585.0,3176503.75,113850.0,1.8501417932497377,10.171277997364953,6.502824858757062,0.0
2003,British Columbia,0.0,46405.0,121407.0,29320.0,4121031.5,138492.0,0.573374897323986,33.5073506050891,4.140757162346521,0.0
2003,Manitoba,0.0,4250.0,41790.0,9867.0,1162078.5,36173.0,0.5798094911671825,11.749094628590386,4.2353298875038,0.0
2003,New Brunswick,0.0,3025.0,21348.0,6257.0,749355.75,18116.0,0.04055125678859017,16.697946566570987,3.411858718235576,0.0
2003,Newfoundland and Labrador,0.0,895.0,13872.0,4281.0,518745.5,10486.0,-0.25985537313232276,8.535189776845318,3.240364400840925,0.0
2003,Northwest Territories,0.0,55.0,2122.0,202.0,42419.5,1975.0,2.198424362155782,2.7848101265822782,10.504950495049505,0.0
2003,Northwest Territories including Nunavut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Nova Scotia,0.0,5095.0,26029.0,8064.0,936923.75,23060.0,0.2311280423144657,22.09453599306158,3.2278025793650795,0.0
2003,Nunavut,0.0,5.0,2242.0,134.0,29178.0,2113.0,2.0334656339062507,0.236630383341221,16.73134328358209,0.0
2003,Ontario,0.0,64085.0,395027.0,84207.0,12220929.25,374905.0,1.3171072202515344,17.093663728144463,4.691142066574038,0.0
2003,Prince Edward Island,0.0,285.0,4247.0,1183.0,137216.0,3349.0,0.20978063408889636,8.51000298596596,3.5900253592561286,0.0
2003,Province / Territory not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,Quebec,0.0,25200.0,220885.0,54927.0,7480399.0,191158.0,0.6040223054656568,13.182812124002135,4.021428441385839,0.0
2003,Saskatchewan,0.0,3520.0,36114.0,9007.0,996269.5,30627.0,-0.11614873454525165,11.493126979462566,4.009548129232819,0.0
2003,Unknown province or territory,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
2003,Unknown province or territory of residence,0.0,0.0,0.0,4.0,0.0,-4.0,0.0,-0.0,0.0,0.0
2003,Yukon,0.0,30.0,1002.0,133.0,30790.25,899.0,1.8642427651004434,3.337041156840934,7.533834586466165,0.0
2004,Alberta,0.0,11755.0,122286.0,18675.0,3233188.5,115366.0,1.7845012775445257,10.189310542100792,6.548112449799197,0.0
2004,British Columbia,0.0,47505.0,121397.0,29923.0,4152310.75,138979.0,0.7590150669801954,34.18142309269746,4.056979580924373,0.0
2004,Manitoba,0.0,4710.0,41441.0,9903.0,1171468.5,36248.0,0.8080349133040565,12.993820348708896,4.184691507623953,0.0
2004,New Brunswick,0.0,3200.0,20890.0,6247.0,749301.25,17843.0,-0.007272914099876182,17.934203889480468,3.34400512245878,0.0
2004,Newfoundland and Labrador,0.0,910.0,13455.0,4308.0,517700.75,10057.0,-0.20139933744003358,9.048423983295217,3.1232590529247912,0.0
2004,Northwest Territories,0.0,50.0,2115.0,153.0,43258.5,2012.0,1.9778639540777299,2.485089463220676,13.823529411764707,0.0
2004,Northwest Territories including Nunavut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,Nova Scotia,0.0,5430.0,26485.0,8241.0,939291.0,23674.0,0.2526619695572885,22.93655487032187,3.2138090037616793,0.0
2004,Nunavut,0.0,10.0,2297.0,121.0,29670.75,2186.0,1.688772362739055,0.4574565416285453,18.983471074380166,0.0
2004,Ontario,0.0,65465.0,401594.0,83142.0,12367225.25,383917.0,1.1970939116597856,17.05186277242216,4.830218180943446,0.0
2004,Prince Edward Island,0.0,315.0,4172.0,1223.0,137630.5,3264.0,0.30207847481342753,9.650735294117647,3.411283728536386,0.0
2004,Province / Territory not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,Quebec,0.0,25595.0,221095.0,55624.0,7529847.0,191066.0,0.6610342576645944,13.395894612332912,3.974813030346613,0.0
2004,Saskatchewan,0.0,3560.0,35948.0,8844.0,997001.75,30664.0,0.07349918872352479,11.609705191755806,4.064676616915423,0.0
2004,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,Unknown province or territory of residence,0.0,0.0,0.0,28.0,0.0,-28.0,0.0,-0.0,0.0,0.0
2004,Yukon,0.0,35.0,1090.0,166.0,31465.75,959.0,2.1938763082469226,3.64963503649635,6.566265060240964,0.0
2005,Alberta,0.0,12200.0,126300.0,19288.0,3310477.0,119212.0,2.390473057788012,10.233869073583197,6.548112816258814,0.0
2005,British Columbia,0.0,49180.0,122431.0,30227.0,4191434.5,141384.0,0.9422163309911191,34.784699824591186,4.050385417011281,0.0
