REF_DATE,GEO,Housing completions,Housing starts,Housing under construction
2002-02-01,Canada,3109.782608695652,4077.643478260869,9017.173913043478
2002-02-01,Manitoba,3824.0434782608695,5133.391304347825,11078.565217391304
2002-02-01,New Brunswick,4538.304347826087,6189.139130434782,13139.95652173913
2002-02-01,Newfoundland and Labrador,5252.565217391304,7244.886956521737,15201.347826086956
2002-02-01,Nova Scotia,5966.826086956522,8300.634782608695,17262.739130434784
2002-02-01,Ontario,6681.086956521739,9356.38260869565,19324.130434782608
2002-02-01,Prince Edward Island,7395.347826086956,10412.130434782606,21385.521739130432
2002-02-01,Quebec,8109.608695652174,11467.878260869564,23446.91304347826
2002-02-01,Saskatchewan,8823.869565217392,12523.62608695652,25508.304347826088
2002-03-01,Alberta,9538.130434782608,13579.373913043475,27569.695652173912
2002-03-01,British Columbia,10252.391304347826,14635.121739130433,29631.086956521736
2002-03-01,Canada,10966.652173913044,15690.869565217388,31692.478260869564
2002-03-01,Manitoba,11680.91304347826,16746.617391304346,33753.86956521739
2002-03-01,New Brunswick,12395.173913043478,17802.365217391303,35815.260869565216
2002-03-01,Newfoundland and Labrador,13109.434782608696,18858.11304347826,37876.65217391304
2002-03-01,Nova Scotia,13823.695652173912,19913.860869565215,39938.043478260865
2002-03-01,Ontario,14537.95652173913,20969.608695652172,41999.434782608696
2002-03-01,Prince Edward Island,15252.217391304348,22025.35652173913,44060.82608695652
2002-03-01,Quebec,15966.478260869564,23081.104347826084,46122.217391304344
2002-03-01,Saskatchewan,16680.739130434784,24136.85217391304,48183.608695652176
2002-04-01,Alberta,17395.0,25192.6,50245.0
2002-04-01,British Columbia,11104.0,14102.6,42643.0
2002-04-01,Canada,95272.0,139071.4,302916.0
2002-04-01,Manitoba,1587.0,2162.4,3266.0
2002-04-01,New Brunswick,845.0,2677.1,3915.0
2002-04-01,Newfoundland and Labrador,646.0,1639.4,2320.0
2002-04-01,Nova Scotia,1778.0,3204.6,5062.0
2002-04-01,Ontario,41691.0,53559.4,143224.0
2002-04-01,Prince Edward Island,118.0,551.7,659.0
2002-04-01,Quebec,18603.0,34105.5,48574.0
2002-04-01,Saskatchewan,1505.0,1676.4,3008.0
2002-05-01,Alberta,2278.086956521739,2631.8826086956524,5244.347826086956
2002-05-01,British Columbia,3051.173913043478,3587.365217391304,7480.695652173913
2002-05-01,Canada,3824.2608695652175,4542.847826086956,9717.04347826087
2002-05-01,Manitoba,4597.347826086956,5498.330434782609,11953.391304347826
2002-05-01,New Brunswick,5370.434782608696,6453.81304347826,14189.739130434782
2002-05-01,Newfoundland and Labrador,6143.521739130435,7409.2956521739125,16426.08695652174
2002-05-01,Nova Scotia,6916.608695652174,8364.778260869565,18662.434782608696
2002-05-01,Ontario,7689.695652173913,9320.260869565216,20898.782608695652
2002-05-01,Prince Edward Island,8462.782608695652,10275.743478260869,23135.130434782608
2002-05-01,Quebec,9235.869565217392,11231.22608695652,25371.478260869564
2002-05-01,Saskatchewan,10008.95652173913,12186.708695652173,27607.82608695652
2002-06-01,Alberta,10782.04347826087,13142.191304347825,29844.17391304348
2002-06-01,British Columbia,11555.130434782608,14097.673913043476,32080.521739130436
2002-06-01,Canada,12328.217391304348,15053.156521739129,34316.86956521739
2002-06-01,Manitoba,13101.304347826086,16008.63913043478,36553.217391304344
2002-06-01,New Brunswick,13874.391304347826,16964.121739130434,38789.565217391304
2002-06-01,Newfoundland and Labrador,14647.478260869566,17919.604347826087,41025.913043478264
2002-06-01,Nova Scotia,15420.565217391304,18875.08695652174,43262.260869565216
2002-06-01,Ontario,16193.652173913044,19830.56956521739,45498.608695652176
2002-06-01,Prince Edward Island,16966.739130434784,20786.05217391304,47734.95652173913
2002-06-01,Quebec,17739.82608695652,21741.534782608695,49971.30434782609
2002-06-01,Saskatchewan,18512.91304347826,22697.017391304347,52207.65217391304
2002-07-01,Alberta,19286.0,23652.5,54444.0
2002-07-01,British Columbia,13121.0,15951.5,45467.0
2002-07-01,Canada,128858.0,132381.6,306032.0
2002-07-01,Manitoba,2373.0,2631.1,3520.0
2002-07-01,New Brunswick,2029.0,2408.3,4278.0
2002-07-01,Newfoundland and Labrador,871.0,1726.3,3179.0
2002-07-01,Nova Scotia,1747.0,3062.6,6355.0
2002-07-01,Ontario,53102.0,55042.8,145185.0
2002-07-01,Prince Edward Island,442.0,789.0,999.0
2002-07-01,Quebec,34005.0,24575.8,39145.0
2002-07-01,Saskatchewan,1882.0,2337.4,3460.0
2002-08-01,Alberta,2768.173913043478,3304.3565217391306,5762.478260869565
2002-08-01,British Columbia,3654.3478260869565,4271.313043478261,8064.95652173913
2002-08-01,Canada,4540.521739130435,5238.269565217392,10367.434782608696
2002-08-01,Manitoba,5426.695652173913,6205.226086956522,12669.91304347826
2002-08-01,New Brunswick,6312.869565217391,7172.182608695652,14972.391304347824
2002-08-01,Newfoundland and Labrador,7199.04347826087,8139.139130434782,17274.869565217392
2002-08-01,Nova Scotia,8085.217391304348,9106.095652173914,19577.347826086956
2002-08-01,Ontario,8971.391304347826,10073.052173913044,21879.82608695652
2002-08-01,Prince Edward Island,9857.565217391304,11040.008695652174,24182.304347826084
2002-08-01,Quebec,10743.739130434782,12006.965217391304,26484.78260869565
2002-08-01,Saskatchewan,11629.91304347826,12973.921739130434,28787.260869565216
2002-09-01,Alberta,12516.08695652174,13940.878260869564,31089.73913043478
2002-09-01,British Columbia,13402.260869565218,14907.834782608694,33392.217391304344
2002-09-01,Canada,14288.434782608696,15874.791304347826,35694.69565217391
2002-09-01,Manitoba,15174.608695652174,16841.747826086958,37997.17391304347
2002-09-01,New Brunswick,16060.782608695652,17808.704347826086,40299.65217391304
2002-09-01,Newfoundland and Labrador,16946.95652173913,18775.660869565218,42602.13043478261
2002-09-01,Nova Scotia,17833.130434782608,19742.61739130435,44904.60869565217
2002-09-01,Ontario,18719.304347826088,20709.573913043478,47207.086956521736
2002-09-01,Prince Edward Island,19605.478260869564,21676.53043478261,49509.5652173913
2002-09-01,Quebec,20491.652173913044,22643.486956521738,51812.043478260865
2002-09-01,Saskatchewan,21377.82608695652,23610.44347826087,54114.52173913043
2002-10-01,Alberta,22264.0,24577.4,56417.0
2002-10-01,British Columbia,15975.0,14556.4,44017.0
